,TRGT_YEAR,GHG_EMS
917,2017,17833
918,2017,21434
919,2017,29955
920,2017,80251
921,2017,51606
922,2017,17696
923,2017,82982
924,2017,49373
925,2017,21894
926,2017,70501
927,2017,11688
928,2017,22074
929,2017,159420
930,2017,21457
931,2017,36683
932,2017,43102
933,2017,17997
934,2017,24314
935,2017,26227
936,2017,24406
937,2017,16831
938,2017,20964
939,2017,42183
940,2017,51261
941,2017,23405
942,2017,17269
943,2017,26858
944,2017,68186
945,2017,12228
946,2017,179440
947,2017,65771
948,2017,19654
949,2017,86144
950,2017,28669
951,2017,15033
952,2017,41709
953,2017,18636
954,2017,461403
955,2017,112303
956,2017,39428
957,2017,23687
958,2017,6940
959,2017,64878
960,2017,23545
961,2017,537928
962,2017,74991
963,2017,15231
964,2017,23053
965,2017,57264
966,2017,44686
967,2017,30582
968,2017,36978
969,2017,15652
970,2017,28647
971,2017,18044
972,2017,128390
973,2017,15532
974,2017,18592
975,2017,45376
976,2017,19236
977,2017,17099
978,2017,19774
979,2017,34341
980,2017,18335
981,2017,27655
982,2017,10901
983,2017,24314
984,2017,16861
985,2017,16398
986,2017,1395133
987,2017,64654
988,2017,18675
989,2017,79202
990,2017,26853
991,2017,30544
992,2017,15797
993,2017,78689
994,2017,23655
995,2017,165810
996,2017,23828
997,2017,17180
998,2017,14554
999,2017,81652
1000,2017,66029
1001,2017,360535
1002,2017,15228
1003,2017,98474
1004,2017,32971
1005,2017,14978
1006,2017,15557
1007,2017,17860
1008,2017,18732
1009,2017,1621281
1010,2017,31279
1011,2017,17140
1012,2017,166196
1013,2017,22221
1014,2017,20319
1015,2017,159121
1016,2017,29706
1017,2017,42097
1018,2017,71336
1019,2017,73157
1020,2017,18512
1021,2017,23800
1022,2017,32637
1023,2017,146770
1024,2017,88090
1025,2017,16631
1026,2017,176355
1027,2017,47359
1028,2017,17792
1029,2017,506598
1030,2017,49791
1031,2017,275986
1032,2017,151428
1033,2017,80428
1034,2017,39024
1035,2017,15950
1036,2017,33536
1037,2017,525342
1038,2017,20479
1039,2017,20088
1040,2017,4153
1041,2017,35739
1042,2017,20776
1043,2017,14653
1044,2017,87418
